nome,data_nascimento,email,telefone
THALES CÂMARA,18/12/1999,brayancamargo@example.com,+55 71 1913 8526
RENAN NOVAES,01/07/1946,joao-guilhermecampos@example.org,(041) 6240-6162
GUSTAVO COSTA,26/11/1958,siqueiragustavo-henrique@example.com,11 0547 6717
LIAM MENDONÇA,22/03/1951,zda-mata@example.org,21 8550-9925
SR. JOSÉ COSTA,28/02/1980,ana-julia14@example.net,81 3888 5060
SR. FELIPE CAVALCANTI,19/01/1953,heloisasousa@example.net,+55 (051) 8389-8758
NOAH CAMPOS,19/10/1981,henriqueribeiro@example.com,+55 (071) 0611-6397
AYLA FERNANDES,27/12/1984,esterda-mota@example.net,(061) 5345 2843
OLIVER MACHADO,26/07/1972,eloa04@example.net,+55 84 0200-9167
MARIA VITÓRIA DA COSTA,30/07/1986,nogueiraliam@example.com,+55 51 4006 2555
